,listing_id,price,borough,neighbourhood,price_per_month,latitude,longitude
35,13394,80,Brooklyn, Fort Greene,2433.333333,40.69142,-73.97376
36,13808,80,Brooklyn, Bedford-Stuyvesant,2433.333333,40.68043,-73.93934
37,14287,151,Manhattan, Upper West Side,4592.916667,40.78635,-73.97008
38,14290,228,Brooklyn, Williamsburg,6935,40.7042,-73.9356
39,14314,144,Brooklyn, Greenpoint,4380,40.73506,-73.95392
40,14322,200,Manhattan, Kips Bay,6083.333333,40.73961,-73.98074
41,14377,150,Brooklyn, Williamsburg,4562.5,40.70881,-73.9593
42,14991,110,Manhattan, Lower East Side,3345.833333,40.72004,-73.99104
43,15220,69,Manhattan, Hell's Kitchen,2098.75,40.75531,-73.99293
44,15338,49,Brooklyn, Greenpoint,1490.416667,40.72401,-73.93788
45,15341,180,Manhattan, SoHo,5475,40.7221,-73.99775
46,15385,80,Brooklyn, Williamsburg,2433.333333,40.71185,-73.96204
47,15711,250,Manhattan, Upper East Side,7604.166667,40.77065,-73.95269
48,16326,200,Brooklyn, Prospect Heights,6083.333333,40.67811,-73.96428
49,16421,52,Manhattan, Hell's Kitchen,1581.666667,40.75979,-73.99119
50,16580,80,Manhattan, East Village,2433.333333,40.72649,-73.97904
51,16595,275,Brooklyn, Williamsburg,8364.583333,40.70933,-73.96792
52,16821,99,Manhattan, East Village,3011.25,40.72298,-73.98474
53,16974,225,Manhattan, East Harlem,6843.75,40.80164,-73.93922
54,17092,51,Manhattan, Hell's Kitchen,1551.25,40.76342,-73.98865
55,17693,65,Manhattan, Washington Heights,1977.083333,40.83139,-73.94095
56,17747,105,Brooklyn, Clinton Hill,3193.75,40.68346,-73.96374
57,18127,190,Manhattan, East Village,5779.166667,40.72828,-73.98801
58,18152,200,Manhattan, Upper East Side,6083.333333,40.76865,-73.95058
59,18198,70,Queens, Woodside,2129.166667,40.75038,-73.90334
60,18590,95,Brooklyn, Fort Greene,2889.583333,40.6932,-73.97267
61,18728,150,Manhattan, Chelsea,4562.5,40.74138,-74.00197
62,18764,145,Brooklyn, Williamsburg,4410.416667,40.71154,-73.96112
63,19159,110,Manhattan, Harlem,3345.833333,40.82915,-73.95136
64,19169,285,Manhattan, Lower East Side,8668.75,40.71851,-73.98892
65,19282,130,Brooklyn, Flatbush,3954.166667,40.65401,-73.96323
66,19319,94,Manhattan, Lower East Side,2859.166667,40.7114,-73.98794
67,20299,60,Manhattan, East Village,1825,40.72334,-73.9844
68,20611,85,Brooklyn, Williamsburg,2585.416667,40.71156,-73.96218
69,20724,65,Brooklyn, Bushwick,1977.083333,40.70032,-73.9383
70,20734,131,Brooklyn, Prospect Heights,3984.583333,40.68233,-73.97261
71,20755,98,Brooklyn, Clinton Hill,2980.833333,40.68634,-73.966
72,20853,250,Brooklyn, Prospect Heights,7604.166667,40.68035,-73.97162
73,21293,105,Brooklyn, Bushwick,3193.75,40.70093,-73.92609
74,21456,140,Manhattan, Upper West Side,4258.333333,40.79764,-73.96177
75,21794,98,Manhattan, Chelsea,2980.833333,40.74008,-74.00271
76,22918,60,Manhattan, Harlem,1825,40.82279,-73.95139
77,23135,175,Brooklyn, Carroll Gardens,5322.916667,40.67967,-74.00154
78,23686,500,Manhattan, West Village,15208.33333,40.73096,-74.00319
79,24143,101,Brooklyn, Williamsburg,3072.083333,40.71332,-73.94177
80,25235,125,Brooklyn, Bedford-Stuyvesant,3802.083333,40.68373,-73.92377
81,25696,100,Manhattan, Harlem,3041.666667,40.8092,-73.94421
82,26362,59,Manhattan, Hell's Kitchen,1794.583333,40.75527,-73.99291
83,26520,125,Brooklyn, Clinton Hill,3802.083333,40.68698,-73.96572
84,26969,325,Brooklyn, Williamsburg,9885.416667,40.71942,-73.95748
85,27006,235,Manhattan, Upper West Side,7147.916667,40.77823,-73.97637
86,27385,225,Manhattan, East Village,6843.75,40.72555,-73.97965
87,27531,99,Brooklyn, South Slope,3011.25,40.66831,-73.98604
88,27644,170,Manhattan, Harlem,5170.833333,40.82754,-73.94919
89,27759,170,Manhattan, Upper West Side,5170.833333,40.77842,-73.97556
90,29013,70,Brooklyn, Bedford-Stuyvesant,2129.166667,40.68332,-73.9547
91,29455,120,Manhattan, Harlem,3650,40.81618,-73.94894
92,29628,89,Brooklyn, Clinton Hill,2707.083333,40.68414,-73.96351
93,29683,185,Manhattan, East Village,5627.083333,40.72392,-73.99143
94,30031,50,Brooklyn, Greenpoint,1520.833333,40.73494,-73.9503
95,30927,105,Manhattan, Lower East Side,3193.75,40.71341,-73.98856
96,31130,130,Manhattan, Hell's Kitchen,3954.166667,40.76754,-73.98399
97,31555,115,Manhattan, West Village,3497.916667,40.73442,-74.00303
98,31902,77,Brooklyn, Flatlands,2342.083333,40.63188,-73.93248
99,31994,76,Brooklyn, Clinton Hill,2311.666667,40.6873,-73.9634
100,32023,125,Brooklyn, Bedford-Stuyvesant,3802.083333,40.68296,-73.93662
101,32037,135,Brooklyn, Clinton Hill,4106.25,40.6863,-73.96765
102,32965,115,Brooklyn, Bedford-Stuyvesant,3497.916667,40.68281,-73.93524
103,32969,160,Brooklyn, Williamsburg,4866.666667,40.71596,-73.93938
104,33009,195,Brooklyn, Williamsburg,5931.25,40.71492,-73.95935
105,33014,195,Manhattan, East Village,5931.25,40.72354,-73.98295
106,33223,80,Brooklyn, Williamsburg,2433.333333,40.71165,-73.96087
107,34760,44,Brooklyn, Fort Greene,1338.333333,40.69101,-73.97312
108,35526,156,Manhattan, West Village,4745,40.73474,-74.00101
109,36133,125,Brooklyn, Williamsburg,3802.083333,40.71536,-73.96057
110,36703,225,Manhattan, West Village,6843.75,40.73226,-74.00401
111,38638,219,Manhattan, Upper East Side,6661.25,40.77711,-73.9527
112,39267,99,Manhattan, Upper East Side,3011.25,40.77456,-73.95323
113,39282,69,Brooklyn, Williamsburg,2098.75,40.71088,-73.95055
114,39593,79,Queens, Sunnyside,2402.916667,40.74559,-73.92313
115,39704,135,Brooklyn, Bedford-Stuyvesant,4106.25,40.68306,-73.94659
116,41348,250,Brooklyn, Gowanus,7604.166667,40.66858,-73.99083
117,42580,70,Brooklyn, Clinton Hill,2129.166667,40.68843,-73.96408
118,42729,165,Brooklyn, Carroll Gardens,5018.75,40.6783,-74.00135
119,42882,70,Staten Island, St. George,2129.166667,40.64524,-74.08088
120,43957,50,Brooklyn, Bushwick,1520.833333,40.70641,-73.91765
121,44096,40,Bronx, Highbridge,1216.666667,40.83232,-73.93184
122,44212,125,Manhattan, East Village,3802.083333,40.72518,-73.98034
123,44221,196,Manhattan, Financial District,5961.666667,40.70666,-74.01374
124,44229,110,Brooklyn, Fort Greene,3345.833333,40.69098,-73.97113
125,44288,170,Manhattan, West Village,5170.833333,40.73756,-74.00405
126,44506,165,Manhattan, Harlem,5018.75,40.81526,-73.94791
127,45556,65,Brooklyn, Fort Greene,1977.083333,40.68863,-73.97691
128,45910,350,Queens, Ridgewood,10645.83333,40.70382,-73.89797
129,45936,99,Manhattan, Morningside Heights,3011.25,40.80549,-73.95924
130,45940,200,Brooklyn, Williamsburg,6083.333333,40.71627,-73.9587
131,46544,150,Brooklyn, Park Slope,4562.5,40.67994,-73.97863
132,46723,90,Brooklyn, Bedford-Stuyvesant,2737.5,40.67992,-73.9475
133,46911,120,Brooklyn, Prospect Heights,3650,40.67868,-73.97307
134,47199,75,Manhattan, Upper East Side,2281.25,40.76834,-73.95334
135,47926,275,Manhattan, Hell's Kitchen,8364.583333,40.76307,-73.99665
136,48719,299,Manhattan, Lower East Side,9094.583333,40.71882,-73.98852
137,50447,135,Brooklyn, South Slope,4106.25,40.6693,-73.98804
138,51485,83,Manhattan, Lower East Side,2524.583333,40.72319,-73.99201
139,51572,123,Manhattan, Chelsea,3741.25,40.74859,-73.99671
140,51850,55,Queens, Jamaica,1672.916667,40.67252,-73.76597
141,53137,195,Manhattan, Hell's Kitchen,5931.25,40.76244,-73.99271
142,53477,265,Queens, Middle Village,8060.416667,40.71546,-73.87854
143,54158,249,Brooklyn, Williamsburg,7573.75,40.7195,-73.95976
144,54508,100,Brooklyn, Prospect Heights,3041.666667,40.6787,-73.97262
145,54544,121,Manhattan, Harlem,3680.416667,40.81035,-73.94598
146,54626,45,Bronx, Highbridge,1368.75,40.83075,-73.93058
147,54860,100,Manhattan, East Harlem,3041.666667,40.79958,-73.94275
148,55467,140,Brooklyn, Williamsburg,4258.333333,40.71625,-73.93845
149,55498,71,Brooklyn, Bedford-Stuyvesant,2159.583333,40.6829,-73.93549
150,55737,199,Manhattan, West Village,6052.916667,40.72861,-74.0049
151,55959,69,Brooklyn, Williamsburg,2098.75,40.70979,-73.95162
152,56467,130,Manhattan, East Village,3954.166667,40.72752,-73.98432
153,56525,195,Brooklyn, Greenpoint,5931.25,40.729,-73.95829
154,56859,64,Manhattan, Harlem,1946.666667,40.81219,-73.94499
155,57166,140,Queens, Ditmars Steinway,4258.333333,40.77185,-73.90502
156,57297,159,Brooklyn, Cobble Hill,4836.25,40.68926,-73.99386
157,57468,189,Manhattan, East Village,5748.75,40.72821,-73.98701
158,57618,250,Manhattan, Hell's Kitchen,7604.166667,40.7672,-73.98508
159,57740,239,Manhattan, East Village,7269.583333,40.73012,-73.99053
160,57754,305,Manhattan, Flatiron District,9277.083333,40.7403,-73.98498
161,57874,155,Manhattan, Harlem,4714.583333,40.80931,-73.94343
162,58059,60,Manhattan, Harlem,1825,40.8251,-73.94287
163,58062,135,Brooklyn, Windsor Terrace,4106.25,40.6585,-73.98397
164,58467,120,Manhattan, Roosevelt Island,3650,40.76193,-73.9501
165,59014,150,Manhattan, Lower East Side,4562.5,40.72052,-73.98589
166,59642,135,Brooklyn, Greenpoint,4106.25,40.73401,-73.95967
167,59709,250,Manhattan, Chinatown,7604.166667,40.71756,-73.99503
168,60164,500,Manhattan, SoHo,15208.33333,40.72003,-74.00262
169,60457,225,Manhattan, Greenwich Village,6843.75,40.73194,-73.99474
170,60666,92,Manhattan, Harlem,2798.333333,40.8118,-73.94434
171,60680,99,Manhattan, East Village,3011.25,40.72654,-73.98049
172,60948,140,Manhattan, East Harlem,4258.333333,40.80942,-73.93936
173,61406,80,Manhattan, Harlem,2433.333333,40.80335,-73.9575
174,61492,120,Manhattan, Chinatown,3650,40.71445,-73.9908
175,61509,110,Manhattan, Midtown,3345.833333,40.75749,-73.96897
176,62095,65,Brooklyn, East Flatbush,1977.083333,40.64446,-73.9503
177,62427,130,Manhattan, East Village,3954.166667,40.7268,-73.99079
178,62430,99,Brooklyn, Bushwick,3011.25,40.688,-73.9171
179,62452,36,Staten Island, Tompkinsville,1095,40.63536,-74.08537
180,62461,37,Staten Island, Tompkinsville,1125.416667,40.63627,-74.08543
181,62787,37,Staten Island, Tompkinsville,1125.416667,40.63518,-74.08546
182,62891,175,Manhattan, East Village,5322.916667,40.72477,-73.98161
183,62903,205,Manhattan, Chelsea,6235.416667,40.74238,-73.99567
184,62925,285,Brooklyn, Greenpoint,8668.75,40.72945,-73.95511
185,63299,59,Brooklyn, Williamsburg,1794.583333,40.70763,-73.95177
186,63320,36,Staten Island, Tompkinsville,1095,40.63481,-74.08519
187,63360,99,Queens, Astoria,3011.25,40.75384,-73.91433
188,63546,39,Brooklyn, Kensington,1186.25,40.64106,-73.97426
189,63610,105,Bronx, Eastchester,3193.75,40.88057,-73.83572
190,63657,135,Brooklyn, Bedford-Stuyvesant,4106.25,40.68236,-73.94314
191,63693,390,Manhattan, East Village,11862.5,40.72185,-73.98246
192,64000,60,Brooklyn, Williamsburg,1825,40.7069,-73.95467
193,64107,100,Brooklyn, Crown Heights,3041.666667,40.6778,-73.94339
194,64277,70,Brooklyn, Bedford-Stuyvesant,2129.166667,40.68317,-73.94701
195,64314,110,Brooklyn, Crown Heights,3345.833333,40.6761,-73.9529
196,64365,60,Brooklyn, Crown Heights,1825,40.67586,-73.95155
197,64707,90,Manhattan, Little Italy,2737.5,40.71702,-73.99811
198,64837,68,Manhattan, East Village,2068.333333,40.72321,-73.98157
199,65019,115,Manhattan, Upper West Side,3497.916667,40.77956,-73.98098
200,65268,75,Brooklyn, Bedford-Stuyvesant,2281.25,40.68276,-73.95264
201,65562,129,Manhattan, East Village,3923.75,40.72956,-73.98158
202,65615,130,Brooklyn, Williamsburg,3954.166667,40.71069,-73.95175
203,65660,95,Brooklyn, Williamsburg,2889.583333,40.70863,-73.94641
204,65813,75,Manhattan, Harlem,2281.25,40.82888,-73.94307
205,66008,190,Brooklyn, Carroll Gardens,5779.166667,40.67846,-73.99443
206,66026,49,Brooklyn, Crown Heights,1490.416667,40.6715,-73.94808
207,66251,212,Manhattan, East Village,6448.333333,40.72681,-73.98534
208,66275,95,Manhattan, Lower East Side,2889.583333,40.71904,-73.99392
209,66451,140,Brooklyn, Williamsburg,4258.333333,40.71031,-73.9583
210,66718,135,Manhattan, Harlem,4106.25,40.81322,-73.95306
211,66741,150,Brooklyn, Park Slope,4562.5,40.67732,-73.98225
212,66974,190,Brooklyn, Gowanus,5779.166667,40.68076,-73.9896
213,67288,124,Manhattan, East Harlem,3771.666667,40.79603,-73.94903
214,67299,135,Brooklyn, Williamsburg,4106.25,40.71492,-73.96282
215,67397,122,Manhattan, Morningside Heights,3710.833333,40.80393,-73.95838
216,68099,109,Manhattan, Upper West Side,3315.416667,40.80082,-73.9652
217,68403,145,Brooklyn, Bedford-Stuyvesant,4410.416667,40.683,-73.91981
218,68735,195,Manhattan, Upper West Side,5931.25,40.78971,-73.9729
219,68765,250,Brooklyn, Carroll Gardens,7604.166667,40.67817,-73.99495
220,68974,575,Manhattan, Little Italy,17489.58333,40.71943,-73.99627
221,69894,150,Manhattan, Upper West Side,4562.5,40.78,-73.98249
222,69921,70,Brooklyn, Bushwick,2129.166667,40.70514,-73.91922
223,70095,90,Manhattan, Inwood,2737.5,40.86713,-73.92811
224,70128,65,Manhattan, East Village,1977.083333,40.73198,-73.98881
225,70609,500,Manhattan, East Village,15208.33333,40.72542,-73.97986
226,71010,250,Manhattan, Washington Heights,7604.166667,40.83494,-73.93869
227,71248,125,Manhattan, Chinatown,3802.083333,40.71659,-73.98945
228,71366,200,Manhattan, West Village,6083.333333,40.72966,-74.00243
229,71812,90,Bronx, Kingsbridge,2737.5,40.87207,-73.90193
230,72190,110,Manhattan, Upper West Side,3345.833333,40.77728,-73.97818
231,72265,59,Brooklyn, Greenpoint,1794.583333,40.72646,-73.95341
232,74073,195,Brooklyn, Williamsburg,5931.25,40.71015,-73.96101
233,74240,169,Brooklyn, Williamsburg,5140.416667,40.71903,-73.9597
234,74680,115,Queens, Astoria,3497.916667,40.77635,-73.93426
235,75193,69,Brooklyn, Williamsburg,2098.75,40.71398,-73.95763
236,75635,150,Manhattan, Lower East Side,4562.5,40.71876,-73.98394
237,76761,169,Brooklyn, South Slope,5140.416667,40.66552,-73.99019
238,77765,179,Brooklyn, Greenpoint,5444.583333,40.73749,-73.95292
239,77936,150,Manhattan, Hell's Kitchen,4562.5,40.76248,-73.9913
240,79067,350,Brooklyn, Clinton Hill,10645.83333,40.6848,-73.96219
241,79782,120,Brooklyn, Williamsburg,3650,40.70516,-73.95455
242,80493,71,Manhattan, East Village,2159.583333,40.72329,-73.98486
243,80700,349,Brooklyn, Greenpoint,10615.41667,40.73738,-73.95482
244,82550,200,Brooklyn, Brooklyn Heights,6083.333333,40.69441,-73.99771
245,82638,169,Manhattan, East Village,5140.416667,40.72399,-73.98374
246,82928,185,Brooklyn, Bedford-Stuyvesant,5627.083333,40.6824,-73.94615
247,83243,65,Brooklyn, Bushwick,1977.083333,40.68949,-73.91708
248,83847,225,Manhattan, East Village,6843.75,40.72451,-73.98094
249,84010,179,Brooklyn, Greenpoint,5444.583333,40.73813,-73.95394
250,84659,139,Manhattan, East Village,4227.916667,40.72843,-73.98895
251,84905,95,Manhattan, Two Bridges,2889.583333,40.71271,-73.99776
252,85094,79,Brooklyn, Crown Heights,2402.916667,40.66966,-73.94735
253,86215,150,Manhattan, Lower East Side,4562.5,40.71965,-73.98766
254,89621,90,Brooklyn, Bedford-Stuyvesant,2737.5,40.68048,-73.94911
255,93313,120,Brooklyn, Bedford-Stuyvesant,3650,40.68314,-73.93963
256,94035,80,Queens, Astoria,2433.333333,40.75961,-73.91117
257,94477,175,Brooklyn, Bedford-Stuyvesant,5322.916667,40.69305,-73.93185
258,94783,120,Brooklyn, Crown Heights,3650,40.67174,-73.95663
259,96471,165,Brooklyn, Clinton Hill,5018.75,40.68413,-73.96542
260,99070,65,Manhattan, East Harlem,1977.083333,40.79406,-73.94102
261,99085,123,Brooklyn, Fort Greene,3741.25,40.68795,-73.97332
262,100002,67,Manhattan, Washington Heights,2037.916667,40.85295,-73.93361
263,100184,50,Queens, Queens Village,1520.833333,40.72413,-73.76133
264,100186,130,Brooklyn, Gowanus,3954.166667,40.66918,-73.99187
265,101053,100,Brooklyn, Williamsburg,3041.666667,40.71125,-73.95613
266,103161,190,Brooklyn, Williamsburg,5779.166667,40.71577,-73.96053
267,103806,249,Manhattan, East Village,7573.75,40.72577,-73.98745
268,105510,100,Brooklyn, Crown Heights,3041.666667,40.67086,-73.94872
269,106363,60,Manhattan, Harlem,1825,40.82773,-73.95231
270,106647,135,Brooklyn, Bedford-Stuyvesant,4106.25,40.68505,-73.95684
271,107630,175,Brooklyn, Greenpoint,5322.916667,40.72911,-73.95493
272,107895,120,Manhattan, Upper West Side,3650,40.77944,-73.98567
273,110739,169,Manhattan, Midtown,5140.416667,40.74503,-73.98876
274,112435,95,Brooklyn, Fort Greene,2889.583333,40.69088,-73.97307
275,113265,55,Brooklyn, Crown Heights,1672.916667,40.67555,-73.95057
276,113945,85,Manhattan, Hell's Kitchen,2585.416667,40.75835,-73.99193
277,114123,199,Brooklyn, South Slope,6052.916667,40.66527,-73.9886
278,114229,211,Manhattan, Lower East Side,6417.916667,40.71895,-73.99434
279,115535,65,Manhattan, Harlem,1977.083333,40.82399,-73.95328
280,115678,99,Manhattan, Harlem,3011.25,40.81822,-73.94095
281,115748,110,Queens, Astoria,3345.833333,40.76434,-73.92132
282,116940,80,Brooklyn, Crown Heights,2433.333333,40.67705,-73.94925
283,118061,110,Brooklyn, Bedford-Stuyvesant,3345.833333,40.68448,-73.92747
284,118430,290,Manhattan, Chelsea,8820.833333,40.74412,-74.00208
285,120362,190,Brooklyn, Williamsburg,5779.166667,40.70665,-73.94061
286,121687,200,Brooklyn, Williamsburg,6083.333333,40.72063,-73.95952
287,123784,110,Manhattan, Harlem,3345.833333,40.80481,-73.94794
288,125053,395,Manhattan, East Village,12014.58333,40.72533,-73.99143
289,125163,99,Brooklyn, Bedford-Stuyvesant,3011.25,40.68569,-73.93038
290,125594,39,Brooklyn, Kensington,1186.25,40.64302,-73.97255
291,126443,189,Manhattan, East Village,5748.75,40.72939,-73.98857
292,128975,122,Manhattan, Harlem,3710.833333,40.81333,-73.94453
293,131154,165,Brooklyn, Greenpoint,5018.75,40.72473,-73.95199
294,132516,97,Queens, Forest Hills,2950.416667,40.70925,-73.85262
295,133025,130,Manhattan, Murray Hill,3954.166667,40.7463,-73.97926
296,134934,225,Brooklyn, Williamsburg,6843.75,40.71823,-73.95849
297,135393,50,Brooklyn, East Flatbush,1520.833333,40.651,-73.94886
298,135465,170,Brooklyn, Fort Greene,5170.833333,40.68626,-73.97598
299,136493,250,Brooklyn, Park Slope,7604.166667,40.67632,-73.97616
300,139624,64,Brooklyn, Crown Heights,1946.666667,40.67456,-73.95151
301,140133,249,Brooklyn, Williamsburg,7573.75,40.71363,-73.96019
302,140973,185,Manhattan, East Village,5627.083333,40.72274,-73.97581
303,141154,120,Brooklyn, Boerum Hill,3650,40.6858,-73.9828
304,141984,175,Manhattan, Nolita,5322.916667,40.72094,-73.99706
305,144087,259,Manhattan, Harlem,7877.916667,40.80473,-73.9532
306,146754,250,Brooklyn, Windsor Terrace,7604.166667,40.65749,-73.97675
307,147586,295,Manhattan, Harlem,8972.916667,40.80474,-73.94688
308,148259,451,Brooklyn, Williamsburg,13717.91667,40.71541,-73.94144
309,148825,165,Manhattan, Upper West Side,5018.75,40.79765,-73.96245
310,149777,77,Bronx, Woodlawn,2342.083333,40.89747,-73.8639
311,150804,250,Manhattan, Lower East Side,7604.166667,40.72008,-73.98404
312,151199,129,Queens, Astoria,3923.75,40.75725,-73.91098
313,152078,95,Manhattan, East Village,2889.583333,40.72674,-73.9782
314,152259,55,Manhattan, Harlem,1672.916667,40.81156,-73.94571
315,152263,300,Manhattan, Harlem,9125,40.80497,-73.95016
316,153405,125,Brooklyn, Greenpoint,3802.083333,40.72937,-73.95671
317,153780,175,Manhattan, East Village,5322.916667,40.72587,-73.98438
318,155296,255,Brooklyn, Williamsburg,7756.25,40.71624,-73.96272
319,157673,72,Brooklyn, Bedford-Stuyvesant,2190,40.68101,-73.94081
320,158176,165,Brooklyn, Williamsburg,5018.75,40.71534,-73.95914
321,158290,75,Brooklyn, Clinton Hill,2281.25,40.68288,-73.96024
322,158955,139,Brooklyn, Williamsburg,4227.916667,40.70867,-73.94284
323,159749,88,Brooklyn, Bedford-Stuyvesant,2676.666667,40.67963,-73.93908
324,159815,80,Brooklyn, Bedford-Stuyvesant,2433.333333,40.6798,-73.93908
325,159913,150,Manhattan, Chelsea,4562.5,40.74346,-73.99882
326,160609,200,Manhattan, Upper West Side,6083.333333,40.77724,-73.98109
327,160994,200,Manhattan, East Village,6083.333333,40.72972,-73.97995
328,161366,42,Queens, Sunnyside,1277.5,40.74102,-73.91681
329,161996,295,Manhattan, Harlem,8972.916667,40.83096,-73.94633
330,162508,130,Brooklyn, Crown Heights,3954.166667,40.67212,-73.9506
331,163809,198,Manhattan, Harlem,6022.5,40.80523,-73.95139
332,163814,99,Manhattan, East Village,3011.25,40.72636,-73.98917
333,163836,46,Brooklyn, Greenpoint,1399.166667,40.72185,-73.93956
334,164989,140,Manhattan, SoHo,4258.333333,40.72351,-73.99683
335,165461,75,Manhattan, Morningside Heights,2281.25,40.80525,-73.95916
336,165824,33,Queens, Sunnyside,1003.75,40.74,-73.91901
337,166172,60,Brooklyn, Bushwick,1825,40.70283,-73.92131
338,166541,75,Manhattan, Washington Heights,2281.25,40.84468,-73.94303
339,167482,185,Manhattan, Upper West Side,5627.083333,40.77886,-73.98042
340,168084,190,Manhattan, East Village,5779.166667,40.72578,-73.97879
341,168123,105,Brooklyn, South Slope,3193.75,40.66085,-73.98537
342,169002,65,Manhattan, Harlem,1977.083333,40.82411,-73.94934
343,169306,37,Bronx, University Heights,1125.416667,40.85811,-73.90675
344,169464,85,Brooklyn, Williamsburg,2585.416667,40.70667,-73.96524
345,170761,85,Brooklyn, Fort Greene,2585.416667,40.68768,-73.97611
346,173072,49,Manhattan, Harlem,1490.416667,40.80827,-73.95329
347,173151,91,Brooklyn, Greenpoint,2767.916667,40.72901,-73.95812
348,173742,400,Manhattan, Gramercy,12166.66667,40.73476,-73.98452
349,176653,100,Manhattan, East Village,3041.666667,40.72974,-73.98201
350,176962,179,Brooklyn, Williamsburg,5444.583333,40.70925,-73.95425
351,177421,500,Brooklyn, Greenpoint,15208.33333,40.72315,-73.95226
352,177495,429,Manhattan, Chelsea,13048.75,40.73939,-73.99612
353,177606,189,Manhattan, Kips Bay,5748.75,40.74112,-73.97686
354,179670,120,Manhattan, Lower East Side,3650,40.72019,-73.98217
355,179741,300,Manhattan, Nolita,9125,40.72133,-73.99666
356,180792,95,Queens, Astoria,2889.583333,40.75695,-73.9202
357,181972,199,Manhattan, Harlem,6052.916667,40.8296,-73.94651
358,182069,120,Manhattan, East Harlem,3650,40.79056,-73.9468
359,182095,199,Manhattan, West Village,6052.916667,40.73631,-73.99977
360,182177,125,Bronx, Allerton,3802.083333,40.86466,-73.85709
361,182649,70,Brooklyn, Williamsburg,2129.166667,40.71312,-73.96199
362,185266,75,Brooklyn, Williamsburg,2281.25,40.71297,-73.94336
363,187566,99,Brooklyn, Bedford-Stuyvesant,3011.25,40.69242,-73.95097
364,189135,99,Manhattan, Hell's Kitchen,3011.25,40.76311,-73.99388
365,189732,169,Brooklyn, East New York,5140.416667,40.67497,-73.87305
366,189787,99,Brooklyn, Crown Heights,3011.25,40.66788,-73.94813
367,190267,169,Manhattan, Upper East Side,5140.416667,40.76684,-73.95944
368,190542,160,Brooklyn, Bedford-Stuyvesant,4866.666667,40.68967,-73.95445
369,190968,215,Brooklyn, Prospect Heights,6539.583333,40.67946,-73.96501
370,190974,130,Brooklyn, Park Slope,3954.166667,40.66944,-73.98083
371,191075,110,Manhattan, East Village,3345.833333,40.72566,-73.97748
372,193105,150,Manhattan, Hell's Kitchen,4562.5,40.7709,-73.99181
373,193393,75,Queens, Sunnyside,2281.25,40.74249,-73.92466
374,195123,50,Manhattan, Washington Heights,1520.833333,40.83403,-73.94553
375,195233,43,Brooklyn, Prospect-Lefferts Gardens,1307.916667,40.65513,-73.95641
376,195240,42,Brooklyn, Prospect-Lefferts Gardens,1277.5,40.65589,-73.95539
377,195971,139,Brooklyn, Bedford-Stuyvesant,4227.916667,40.68897,-73.93569
378,195989,105,Brooklyn, Park Slope,3193.75,40.67617,-73.98136
