,listing_id,description,room_type
44,15338,Room in Greenpoint Loft w/ Roof,private room
45,15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,entire home/apt
46,15385,"Very, very cozy place",private room
47,15711,2 bedroom - Upper East Side-great for kids,entire home/apt
48,16326,Comfortable 4-bedroom apt in family house.,entire home/apt
49,16421,Your Heaven in Hells Kitchen,private room
50,16580,"Sunny, Modern room in East Village!",private room
51,16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,entire home/apt
52,16821,Large Room in Amazing East Village Apt,private room
53,16974,SpaHa Loft: Enormous and Bright,entire home/apt
54,17092,Cool Room in Hell's Kitchen,private room
55,17693,"HARLEM, NEW YORK WELCOMES YOU!!",private room
56,17747,BLUE TRIM GUEST HOUSE,private room
57,18127,Charming East Village One Bedroom Flat,entire home/apt
58,18152,Manhattan Room,private room
59,18198,Little King of Queens,private room
60,18590,Fort Greene Retreat on the Park,private room
61,18728,Beautiful Meatpacking District Loft,private room
62,18764,Cozy 2 BR in Williamsburg,private room
63,19159,Spacious luminous apt Upper West NYC,entire home/apt
64,19169,Entire 2 Bedroom - Large & Sunny,entire home/apt
65,19282,"Sunny, Spacious Top Floor Haven",entire home/apt
66,19319,Private room Great Deal at Lower East Side,private room
67,20299,Oh glorious spring!,private room
68,20611,Cozy Bedroom in Williamsburg 3 BR,private room
69,20724,Sunny room+Pvte office in huge loft,private room
70,20734,Spacious Prospect Heights Apartment,entire home/apt
71,20755,"Large Parlor Room, Landmark Home 1 block to PRATT",private room
72,20853,2-bed brownstone duplex + garden,entire home/apt
73,21293,Sunny Apartment in Artist Home,entire home/apt
74,21456,Light-filled classic Central Park,entire home/apt
75,21794,COZY QUIET room 4 DOOGLERS!,private room
76,22918,loft bed - near transportation-15min to times sq,private room
77,23135,House On Henry (3rd FLR Suite),entire home/apt
78,23686,2000 SF 3br 2bath West Village private  townhouse,entire home/apt
79,24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",private room
80,25235,Large 2 Bedroom Great for Groups!,entire home/apt
81,25696,"1,800 sq foot in luxury building",private room
82,26362,"Times Square, Safe, Clean and Cozy!",private room
83,26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",private room
84,26969,2 story family home in Williamsburg,entire home/apt
85,27006,Comfortable UWS 2-BD Family-Friendly Brownstone,entire home/apt
86,27385,Great Large 1 BR apt  in East Village!,entire home/apt
87,27531,Eveland Private Bed & Living Room w/ Own Entrance,private room
88,27644,Sugar Hill Rest Stop,entire home/apt
89,27759,apartment next to Central park,entire home/apt
90,29013,B & B Room 1,private room
91,29455,ACCOMMODATIONS GALORE #1,entire home/apt
92,29628,Sunny Room in New Condo,private room
93,29683,Stylish & Sleek Apartment Near SoHo!,entire home/apt
94,30031,NYC artists’ loft with roof deck,private room
95,30927,Unique & Charming small 1br Apt. LES,entire home/apt
96,31130,Most Central Location!,private room
97,31555,Luminous Beautiful West Village Studio,entire home/apt
98,31902,Sanctuary in East Flatbush,private room
99,31994,Room with En Suite Bathroom & Deck,private room
100,32023,FLAT MACDONOUGH,entire home/apt
101,32037,Huge Private  Floor at The Waverly,private room
102,32965,FLAT MACDONOUGH GARDEN,entire home/apt
103,32969,Light filled Williamsburg Apartment,entire home/apt
104,33009,Retreat in Williamsburg,entire home/apt
105,33014,NYC Zen,entire home/apt
106,33223,Cozy BR in Wiliamsburg 3 Bedroom,private room
107,34760,Sunny Room in Old Historical Brooklyn Townhouse,private room
108,35526,Sun Filled Classic West Village Apt,private room
109,36133,Classic Artist Loft Williamsburg,private room
110,36703,"Sunny, clean 1 bdrm in W. Village",entire home/apt
111,38638,Light and Airy Upper East Side 1 BDR apartment,entire home/apt
112,39267,CENTRAL PARK LOFT all for YOU,entire home/apt
113,39282,Indie-Chic Share In Williamsburg,private room
114,39593,"A room w/ a Manhattan view, longer stay",private room
115,39704,"Private, Large & Sunny 1BR w/W&D",entire home/apt
116,41348,* Spacious GARDEN Park Slope Duplex* 6 people max,entire home/apt
117,42580,Parlor Room In Victorian Townhouse,private room
118,42729,House On Henry (2nd FLR Suite),entire home/apt
119,42882,New York room with a view,private room
120,43957,Sunny cozy room in Brklyn townhouse,private room
121,44096,Room with a View,private room
122,44212,West Inn 2 - East Village,private room
123,44221,Financial District Luxury Loft,entire home/apt
124,44229,BROOKLYN VICTORIAN STYLE SUITE.....,private room
125,44288,Your own Lovely West Village Studio,entire home/apt
126,44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,entire home/apt
127,45556,"Fort Greene, Brooklyn: Center Bedroom",private room
128,45910,Beautiful Queens Brownstone! - 5BR,entire home/apt
129,45936,Couldn't Be Closer To Columbia Uni,private room
130,45940,Bright Spacious Luxury Condo,entire home/apt
131,46544,Park Slope haven 15 mins from Soho,entire home/apt
132,46723,SAFE  AND BEAUTIFUL ACCOMODATION,private room
133,46911,Large Room in private Brownstone in Park Slope,private room
134,47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",private room
135,47926,LUX APT IN TIMES SQUARE NEW BUILDING,entire home/apt
136,48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,entire home/apt
137,50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,entire home/apt
138,51485,Lower East Side $57~/night,private room
139,51572,Prime Location in Manhattan,private room
140,51850,( F) Excellent/Pvt Rm,private room
141,53137,"Quiet, sunny Midtown Manhattan apt.",entire home/apt
142,53477,3 floors of luxury!,entire home/apt
143,54158,The Institute—Heart of Williamsburg,entire home/apt
144,54508,Sml Rm in pr Brst  Park Sl great for Med/students,private room
145,54544,City Room - Private Penthouse Apt.,entire home/apt
146,54626,Cozy bedroom by Yankee Stadium,private room
147,54860,Great apartment with private bathroom and entrance,private room
148,55467,Private Garden Apt • New Renovation,entire home/apt
149,55498,Modern comfort in art infused landmark Brownstone,private room
150,55737,Sleek & Comfortable Soho Apt,entire home/apt
151,55959,Spacious Williamsburg Share w/ LOFT BED,private room
152,56467,Cozy East Village Railroad 1 Bed!,entire home/apt
153,56525,1 Bedroom Loft w/ Private Roof Deck,entire home/apt
154,56859,City Room - Private & Comfy Bedroom,private room
155,57166,Elegant NYC Pad,entire home/apt
156,57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",entire home/apt
157,57468,"Modern, Large East Village Loft",entire home/apt
158,57618,"Great new apt, close to everything",entire home/apt
159,57740,Quiet & Clean Retreat in the City,entire home/apt
160,57754,Stylish Large Gramercy Loft!,entire home/apt
161,57874,The Brownstone-Luxury 1 Bd Apt/NYC,entire home/apt
162,58059,PRIVATE Room on Historic Sugar Hill,private room
163,58062,South Slope Green,private room
164,58467,"17 Flr. Manhattan Views, Nr. Subway",private room
165,59014,"Spacious 1BR, Adorable Clean Quiet",entire home/apt
166,59642,Franklin St Flat in Trendy Greenpoint Brooklyn,entire home/apt
167,59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",entire home/apt
168,60164,"Beautiful, elegant 3 bed SOHO loft",entire home/apt
169,60457,Spacious Greenwich Village Apt,entire home/apt
170,60666,City Room - Private Luxury Suite,private room
171,60680,The gem of the East Village,entire home/apt
172,60948,ACCOMMODATIONS GALORE #2,entire home/apt
173,61406,Great room in great location,private room
174,61492,Exclusive Room with Private Bath in  LES,private room
175,61509,"Quiet, clean midtown apt w. elevato",entire home/apt
176,62095,BK Sweet Suite w/Kitchen&FullBath,entire home/apt
177,62427,Great East Village Apartment Rental,entire home/apt
178,62430,BROWNSTONE SUNDRENCHED BEAUTY,entire home/apt
179,62452,A SpeciaL!! Private Room in NY,private room
180,62461,B NYC Staten Alternative...,private room
181,62787,C Private Room By The Ferry,private room
182,62891,Smallest House In The Village,entire home/apt
183,62903,Beautiful modern studio apartment in heart of NYC,entire home/apt
184,62925,Beautiful Landmarked Duplex,entire home/apt
185,63299,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,private room
186,63320,D Private Che@p Room 2 Explore NYC,private room
187,63360,Safe cute near subway& Manhattan NY NY retro style,entire home/apt
188,63546,Large and Cozy Private Bedroom,private room
189,63610,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,entire home/apt
190,63657,"Private, Large & Sunny Top Floor Apt  w/W&D",entire home/apt
191,63693,Cottage in the Village,entire home/apt
192,64000,Williamsburg near soho. / loftbed,private room
193,64107,BROOKLYN  STUDIO APARTMENT,private room
194,64277,BEDROOM2 FOR RENT  10min from Manh,private room
195,64314,cozy bedroom in lovely garden apt,private room
196,64365,Crown Heights Garden Apt.,private room
197,64707,Amazing  Sunny & Breezy Home In the Heart of  NYC,entire home/apt
198,64837,ENJOY Downtown NYC!!,private room
199,65019,Charming UWS Treehouse Apt,entire home/apt
200,65268,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,private room
201,65562,CHARMING EAST VILLAGE 2 (or 1) BR,entire home/apt
202,65615,Farmhouse Apartment in Williamsburg,entire home/apt
203,65660,Bright+Spacious Williamsburg Abode!,entire home/apt
204,65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",private room
205,66008,CHARMING CARROLL GARDENS APT.,entire home/apt
206,66026,Private Bedroom Brownstone Brooklyn,private room
207,66251,East Village Loft with Piano & Patio,entire home/apt
208,66275,Lower East Side Magic Room,private room
209,66451,**Fantastic Williamsburg Apt**,entire home/apt
210,66718,West Harlem Home Base - Eco-Apt.,entire home/apt
211,66741,Charming Garden Apt in Park Slope,entire home/apt
212,66974,"Lovely, Modern, Garden Apartment",entire home/apt
213,67288,Central Park 1BR sunny condo,entire home/apt
214,67299,Cozy Garden Apartment  in Williamsburg,entire home/apt
215,67397,SoHa comfort-by NW Central Park!,private room
216,68099,Cozy room in Upper West Side,private room
217,68403,The Cozy Brownstone Inn (discount)!,entire home/apt
218,68735,Prewar Penthouse w Private Terrace,entire home/apt
219,68765,Designer 2.5 BR Loft in Carroll Gardens by Subway,entire home/apt
220,68974,Unique spacious loft on the Bowery,entire home/apt
221,69894,"Nice renovated apt, prime location!",entire home/apt
222,69921,Brooklyn Writer's Nook,private room
223,70095,Private Bedroom in Large NYC Apartment,private room
224,70128,"Large, Sunny Room East Village NYC",private room
225,70609,Great Large 3 BR/2 Bath Duplex with Private Patio!,entire home/apt
226,71010,All That Jazz. Uptown style on Sugar Hill.,entire home/apt
227,71248,Bright and lovely 1 bdrm apt in LES,entire home/apt
228,71366,Beautiful One Bed West Village - 4 Month Special,entire home/apt
229,71812,Condo Apartment with laundry in unit,entire home/apt
230,72190,1BR: See Central Park from Terrace!,entire home/apt
231,72265,Private room in cozy Greenpoint,private room
232,74073,Food & Music Dream Apartment in Williamsburg,entire home/apt
233,74240,French Garden cottage off Bedford,entire home/apt
234,74680,One Bedroom Mini studio - Free WIFI,entire home/apt
235,75193,BROOKLYN > Guest Room w/ King Bed in Williamsburg,private room
236,75635,Bright Cozy Chinatown Studio Apt.,entire home/apt
237,76761,Eveland the Place to Stay & Enjoy a 5-⭐️ 2bdrm,entire home/apt
238,77765,Superior @ Box House,private room
239,77936,Hells Kitchen Garden of Eden,private room
240,79067,Lovely 3 bedroom in Italianate Brownstone w/garden,entire home/apt
241,79782,"Williamsburg HUGE, PRIVATE BATH - Next to Train!",private room
242,80493,Cozy room in East Village with AC,private room
243,80700,Loft w/ Terrace @ Box House Hotel,private room
244,82550,Columbia Castle 2 BR,entire home/apt
245,82638,"Charming Artist's Flat, East Village",entire home/apt
246,82928,BEAUTIFUL 2 BEDROOM APARTMENT,entire home/apt
247,83243,Brooklyn Cove Studio Apt w/ Garden!!,entire home/apt
248,83847,East Village Designer's 1-BR APT,entire home/apt
249,84010,Superior @ Box House,private room
250,84659,Large Studio--Heart of East Village,entire home/apt
251,84905,Huge.Bright.Clean.Safe. Private Room,private room
252,85094,Garden 1BR/1BA Brownstone Apt - 2 blocks to subway,entire home/apt
253,86215,MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN,entire home/apt
254,89621,"WONDERFUL, COMFORTABLE STUDIO",entire home/apt
255,93313,MAISON DES SIRENES 2,entire home/apt
256,94035,"Modern, Safe, Clean, Bright Room in Astoria for 2",private room
257,94477,The Vernon On Greene,entire home/apt
258,94783,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",entire home/apt
259,96471,"The Brooklyn Waverly, One Bedroom",private room
260,99070,Comfortable Cozy Space in El Barrio,shared room
261,99085,Sunny Bklyn Jewel  Fort Greene JULY  - AUG 2019,entire home/apt
262,100002,"MANHATTAN Neat, Nice, Bright ROOM",private room
263,100184,Bienvenue,private room
264,100186,Large Brand New Park Slope 1BR,entire home/apt
265,101053,Colorful Artistic Williamsburg Apt,private room
266,103161,Artsy TopFloor Apt in PRIME BEDFORD Williamsburg,entire home/apt
267,103806,BOHEMIAN EAST VILLAGE 2 BED HAVEN,entire home/apt
268,105510,Private 1-Bedroom Apt in Townhouse,entire home/apt
269,106363,Bright Room With A Great River View,private room
270,106647,Tree lined block modern apartment,entire home/apt
271,107630,Sweet Historic Greenpoint Duplex,entire home/apt
272,107895,Riverside Charm with Fire Place,entire home/apt
273,110739,"Very Central, Nomad/Chelsea Loft Studio",entire home/apt
274,112435,ALL ABOUT A VERY COMFORTABLE ROOM..,private room
275,113265,Brooklyn- Crown Heights Garden Apt.,private room
276,113945,Cozy room in Time Square!,private room
277,114123,Large Park Slope Townhouse Duplex,entire home/apt
278,114229,Lower East Side 2 Bedroom Apt,entire home/apt
279,115535,Sun-Drenched Hamilton Hts Jewel,private room
280,115678,Your Stunning Vacation Apartment!,entire home/apt
281,115748,1 BDRM Apt-Weekend Sublease,entire home/apt
282,116940,ROOM WITH A  KITCHENETTE,entire home/apt
283,118061,Style in Stuyvesant Heights,entire home/apt
284,118430,Heart of Meatpacking & Chelsea,private room
285,120362,Williamsburg apartment right by the subway,entire home/apt
286,121687,Spacious Brooklyn Loft - 2 Bedroom,entire home/apt
287,123784,NYC Studio for Rent in Townhouse,entire home/apt
288,125053,⚡Quiet Gem w/roof deck on NY's Hottest Street⚡,entire home/apt
289,125163,Authentic New York City Living,private room
290,125594,SUPER BIG AND COZY PRIVATE BEDROOM,private room
291,126443,☆Massive DUPLEX☆ 2BR & 2BTH East Village 9+ Guests,entire home/apt
292,128975,City Room - Street View Apt,entire home/apt
293,131154,Cozy and Bright One Bedroom in BK,entire home/apt
294,132516,Forest Hills Apt minutes to midtown Manhattan,entire home/apt
295,133025,Midtown cozy convenient,private room
296,134934,Prime Williamsburg Apartment,entire home/apt
297,135393,"Private, spacious room in Brooklyn",private room
298,135465,Garden apartment close to Manhattan,entire home/apt
299,136493,Stunning arty 3200sf 3FLR+3BR townhome w/terrace,entire home/apt
300,139624,"Spacious,Sunny, private one bedroom",entire home/apt
301,140133,Truly Amazing Oasis In The City,entire home/apt
302,140973,"East Village, King-Sized, Charmer",entire home/apt
303,141154,Affordable Furnished Apartment,entire home/apt
304,141984,Charming Nolita Apartment!!,entire home/apt
305,144087,LUXURY OF THE HORIZON,entire home/apt
306,146754,Three-bedroom house in a quiet neighborhood,entire home/apt
307,147586,Beautiful Duplex w/Private Garden,entire home/apt
308,148259,Garage Designer Loft,entire home/apt
309,148825,Best City Area Columbia U Upper West Side C Park,entire home/apt
310,149777,Artsy 1 bedroom Apt. 20 min to 42nd Grand Central!,entire home/apt
311,150804,Lower East Side 2 Bed Apt.,entire home/apt
312,151199,Astoria-Private Home NYC-,entire home/apt
313,152078,CHARMING PRIVATE BEDROOM EAST VILLAGE,private room
314,152259,City Room - Semi Private Bedroom,private room
315,152263,Cozy apartment in a brownstone,entire home/apt
316,153405,Greenpoint Spacious Loft,entire home/apt
317,153780,Private E. Village Townhouse Stay,private room
318,155296,Incredible Prime Williamsburg Loft!,entire home/apt
319,157673,Large  Loft Style  Studio  Space,entire home/apt
320,158176,Entire Apt in Heart of Williamsburg,entire home/apt
321,158290,Clinton Hill + Free Coffee = #smile,private room
322,158955,PRIVATE and SUNNY Williamsburg Apt!,entire home/apt
323,159749,Purple Room for 2/3 in brownstone $1450 per month,private room
324,159815,Red Room for two in Brownstone for $1355/mo,private room
325,159913,"Chelsea living, 2BR best location",private room
326,160609,LOCATION LOCATION LOCATION UWS 60's,entire home/apt
327,160994,In the heart of East Village,entire home/apt
328,161366,Sunny 15min to Manhattan LADY only,private room
329,161996,Manhattan Penthouse-Max.12 guests,entire home/apt
330,162508,Beautiful Brooklyn Oasis,entire home/apt
331,163809,Cool & Spacious Harlem Artist Flat,entire home/apt
332,163814,☆ STUDIO East Village ☆ Own bath! ☆ Sleeps 4 ☆,entire home/apt
333,163836,Greenpoint Loft / Le Chez Andrea,private room
334,164989,"*SoHo: Clean, Safe, Private, Peaceful Bedroom (A)*",private room
335,165461,Couldn't Be Closer To Columbia Uni2,private room
336,165824,Lady only Curtain-divided room,private room
337,166172,LG Private Room/Family Friendly,private room
338,166541,Spacious Quiet rm - 20mins to Midtown,private room
339,167482,Charming upper west side apartment,entire home/apt
340,168084,Light-filled East Village Delight,entire home/apt
341,168123,"Sunny, quiet, legal homelike suite-Pk Slope South",entire home/apt
342,169002,Modern Space in Charming Pre-war,private room
343,169306,Affordable & Cozy,private room
344,169464,Creative Vintage Loft in S. Williamsburg,entire home/apt
345,170761,"Fort Greene, Brooklyn: Front Bedroom",private room
346,173072,Cozy Pre-War Harlem Apartment,shared room
347,173151,spacious studio,private room
348,173742,"Elegant 2-BR duplex, Union Square",entire home/apt
349,176653,East Village bedroom w rooftop,private room
350,176962,Williamsburg Home Away From Home!,entire home/apt
351,177421,Brand New Beautiful Duplex Apartment with Garden,entire home/apt
352,177495,"PRIME, Luxury, Spacious 2 Bedroom Apt in Chelsea",entire home/apt
353,177606,SPACIOUS ALCOVE STUDIO/ JUNIOR ONE,entire home/apt
354,179670,High-end doorman bldg in the LES,private room
355,179741,Spring & Mulberry 2 Bedroom Apartment,entire home/apt
356,180792,Modern Garden Apartment in NYC,entire home/apt
357,181972,Gorgeous Entire Manhattan Townhouse,entire home/apt
358,182069,Cozy studio Apartment in Upper East,entire home/apt
359,182095,Historic classic central cozy Village clean NYU,entire home/apt
360,182177,A PRIVATE FLAT / APARTMENT- $SPECIAL$,entire home/apt
361,182649,Williamsburg bedroom by Bedford Ave,private room
362,185266,Clean and bright with a comfortable atmosphere,private room
363,187566,Historic Brooklyn Studio Apartment,entire home/apt
364,189135,Hell's Kitchen Funky 80's Hideaway!,private room
365,189732,Family & Friends in New York City,entire home/apt
366,189787,Spacious & Comfy BK Brownstone,entire home/apt
367,190267,Large Luxury Upper East Side Studio,entire home/apt
368,190542,Chateau Style Brooklyn Loft for Singles or Couples,entire home/apt
369,190968,Lovely Brooklyn Brownstone 1BR!,entire home/apt
370,190974,Beautiful Grdn. Apt. in Park Slope,entire home/apt
371,191075,Sun-drenched East Village Penthouse,private room
372,193105,Columbus Circle Luxury Bldg - Private Room&Bath,private room
373,193393,"Spacious, Kid-Friendly, and 15-20 Mins. to Midtown",private room
374,195123,"Cheerful, comfortable room",private room
375,195233,Hospitality on Propsect Pk-12 yrs Hosting Legally!,private room
376,195240,"Prospect Pk*NYC in 5 stops* Cozy,Clean & Legal!",private room
377,195971,2 Beds over Bed-Stuy,entire home/apt
378,195989,"Sunny, Large, Park Slope Bedroom",private room
379,197155,Quiet Jr Alcove Near Times Square!,entire home/apt
380,197753,Large room in elevator drman bldg,private room
381,197942,"Comfy, Cozy, Brooklyn close to Manhattan",entire home/apt
382,199195,Modern Bedroom in Hamilton Heights,private room
383,199312,Sunny Space in Williamsburg,private room
384,201992,Serene Park Slope Garden Apartment,entire home/apt
385,204065,St. James Pl Garden Studio 1block to PRATT &Gtrain,entire home/apt
386,204959,Comfortable. Spacious. Private Room.,private room
387,205043,Modern Condo in Midtown,private room
388,205485,Ideal Brooklyn Brownstone Apartment,entire home/apt
389,205735,"A Cozy Oasis in Bushwick, NY",private room
390,205867,Private Entrance - Private Parking,entire home/apt
391,206071,Yankee Stadium Oasis 2 stops to Manhattan!,private room
392,206772,Williamsburg Exposed Brick Loft,entire home/apt
393,208889,Welcome to Brooklyn! Bed-Stuy,entire home/apt
394,209310,Sunnyside NYC/ AC room/ city views/ near Midtown,private room
395,211974,East Village House -- Unique!,entire home/apt
396,212109,2-bedroom share in heart of Greenwich Village!,private room
397,212178,1 Bedroom Pre War apt,entire home/apt
398,213272,CreaTive Live-In Artspace/Birdsnest,private room
399,215560,"Sunny, calm room in Victorian home",private room
400,215784,Modern Unique Studio in NYC,entire home/apt
401,215907,"2 Bed, 2 Bath Apartment on Central Park West",entire home/apt
402,218358,Your Haven in the Upper West Side,private room
403,219066,"Wonderful Studio In Brooklyn, NY!!!",entire home/apt
404,219922,"Lovely Bdr in Harlem, Manhattan",private room
405,220351,THE BEST DEAL ON THE HUDSON RIVER!!,private room
406,220946,Newly Reno’d Chic Quiet Exec 1BR,entire home/apt
407,221097,Large Artist Floorthru- Greenpoint,entire home/apt
408,221618,Gorgeous PermaGO Private Room in FiDi - 1/2,private room
409,222304,BEST DEAL IN CHELSEA 1 bdrm NYC,entire home/apt
410,223930,Lovely Apartment,entire home/apt
411,225306,Charming room in Victorian home,private room
412,225887,Brooklyn B & B close to Manhattan,private room
413,225926,The Notorious B.N.B. { The Erhart },private room
414,225976,Sunny cozy multileveled apartment!,entire home/apt
415,226021,Sunny 2 bedroom Williamsburg Duplex w/ 3 beds,entire home/apt
416,227715,ROOM WITH KITCHENETTE #2,entire home/apt
417,227735,Alpha-Bet City entire floor large cool 2br -L.E.S,entire home/apt
418,228317,"Your Haven Awaits At ""Emma's Place""",entire home/apt
419,228496,"Spacious, Kid-Friendly 2 BR in West Village",entire home/apt
420,228517,Great Bedroom in Downtown Manhattan,private room
421,228925,Beautiful Brownstone,entire home/apt
422,229367,COMFY ROOM/COFFEE AND BAGEL/WEEKLY DISCOUNT,private room
423,230321,Apt with EmpireState view-Subway around the corner,entire home/apt
424,230854,Zen Yankee Stadium Pad 5 Minutes To Manhattan!,private room
425,230877,Monthly Apartment Rental,entire home/apt
426,232612,"Lovely pied-à-terre, in an historic building",entire home/apt
427,232618,"Spacious, well furnished, high fl. beautiful views",entire home/apt
428,233189,NYC Studio in Heart of Times Square,entire home/apt
429,233662,Large Sunny Luxe Prvt Room/Midtown,private room
430,234184,Spacious Stunning Harlem Townhouse,entire home/apt
431,235552,HUGE Sunny Duplex Loft with Garden,entire home/apt
432,235651,LARGE ARTSY Room w/ Loft Bed 4 DOOGLERS!,private room
433,235951,Stylish Studio with exclusive Terrace,entire home/apt
434,236671,"Williamsburg Garden Home, 5 minutes from Manhattan",entire home/apt
435,236788,"HUGE, modern 2-LEVEL Brooklyn apt",entire home/apt
436,237127,LOCATION LOCATION LOCATION Liz's,entire home/apt
437,239733,Astoria Garden Suite,entire home/apt
438,239883,Private Room in Fort Green BK close to city,private room
439,240800,Private Room Near Brooklyn Museum,private room
440,241140,The Notorious B.N.B. { The Wallace },private room
441,241159,Clinton Hill 1 Bed Bright Loft Apartment,entire home/apt
442,241862,Great Studio in W. Village - NYC!,entire home/apt
443,242532,The Notorious B.N.B. { The Swoon },private room
444,242643,"BIG 1br, SLEEPS 4, dishwashr, TV",entire home/apt
445,243708,Williamsburg  - Quiet and Comfy stay,entire home/apt
446,245504,One Fabulous Private Room,private room
447,245544,NY/ Big Room for 2 near Manhattan,private room
448,245574,Brooklyn Brownstone apartment,entire home/apt
449,245607,big 1 bedroom apt very central,entire home/apt
450,246916,Quality Cozy Studio Next to Subway,entire home/apt
451,246938,Scandinavian-apt for up to 5. LES,entire home/apt
452,248865,Loft Suite @ Box House Hotel,entire home/apt
453,248871,4 BEDROOM -2BATHRM WEST VILLAGE DUPLEX  TOWNHOUSE,entire home/apt
454,250259,Pre-War Williamsburg Loft,entire home/apt
455,250801,Heart & Soul of Greenwich Village,entire home/apt
456,251262,Prime Williamsburg Loft off Bedford,private room
457,251277,Private Bdrm /Bath 1 block Ctrl Prk,private room
458,252076,+Highly Satisfactory LES dwelling++,private room
459,253466,Loft Suite @ The Box House Hotel,entire home/apt
460,253475,Loft Suite @ The Box House Hotel,entire home/apt
461,253590,Large 1 Bedroom furnished on UWS,entire home/apt
462,253800,Loft Suite @ Box House Hotel,entire home/apt
463,253803,Loft Suite @ The Box House Hotel,entire home/apt
464,253806,Loft Suite @ The Box House Hotel,entire home/apt
465,253811,Loft Suite @ The Box House Hotel,entire home/apt
466,253815,Loft Suite @ The Box House Hotel,entire home/apt
467,254131,"Read it 1st, A seprat fur BR, low $",private room
468,255024,"3BR, 2 bathroom condo in Bushwick",entire home/apt
469,255476,"The BLUE OWL:
VEGETARIAN WBURG W PATIO & BACKYARD!",private room
470,255601,Cozy 2 Bedroom 20 Min from City,entire home/apt
471,255957,NOLITA! LOCATION! LOCATION! VIEWS! FREE GYM!,entire home/apt
472,256078,"Entire apt NYC, Queens. 15 min from Times Square.",entire home/apt
473,256328,Luxury Chelsea Townhouse at the High Line,entire home/apt
474,256369,Alchemy BnB - room in artist loft,private room
475,257097,Sunny! 2br Steps to train/restaurants - 15 to NYC,entire home/apt
476,257787,Heart of Williamsburg. Brand New.,private room
477,258284,"Fresh, Clean Brooklyn Garden Apt.",entire home/apt
